YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1981,1,1,21.23,13.02,17.13,23.05,10.44,62.62,0.61,90.82,3.26,5.47,1.65,3.82,135.12,4.16,6.08,2.51,3.57,136.81
1981,1,2,21.77,12.88,17.33,23.62,10.25,60.56,0.19,90.88,2.2,4.38,0.56,3.82,86.62,2.83,5.15,0.84,4.3,85.31
1981,1,3,22.92,11.21,17.07,24.47,9.22,52,0,90.82,3.6,6.8,1.41,5.4,125.25,4.86,8.23,2.41,5.83,124.44
1981,1,4,23.35,13.83,18.58,24.81,11.05,57.38,4.17,90.63,4.15,7.13,2.15,4.98,102.62,5.82,8.75,3.66,5.09,101.38
1981,1,5,25.98,17.99,21.98,27.25,14.34,64.06,0.76,90.24,5.43,7.73,2.77,4.96,25.69,7.61,9.53,6.1,3.43,24.31
1981,1,6,25.07,15.71,20.39,26.69,12.45,58.69,0.26,90.52,5.15,9.08,1.92,7.16,171.44,6.84,11.41,3.81,7.6,172.25
1981,1,7,23.55,11.59,17.58,25.23,9.46,50.75,0.11,90.77,4.05,7.27,1.74,5.53,49.12,5.45,8.61,2.88,5.73,48.5
1981,1,8,24.42,14.58,19.5,26.48,11.66,57.19,2.28,90.35,3.17,5.13,1.71,3.41,82.81,4.05,5.94,1.82,4.12,80.12
1981,1,9,26.59,18.55,22.57,28.4,14.83,64.44,0.23,90.38,2.36,4.66,0.92,3.75,178.94,3.19,5.66,1.02,4.65,194.88
1981,1,10,25.26,18.03,21.65,26.46,14.4,66.81,6.75,90.45,2.81,4.92,0.81,4.12,123.25,3.84,6.02,0.86,5.16,121.19
1981,1,11,27.12,17.79,22.45,28.65,14.22,62,1.12,90.29,3.09,4.99,1.35,3.63,137.5,4.13,5.79,1.65,4.14,137.94
1981,1,12,24.76,16.62,20.69,26.53,13.31,65.44,1,90.35,2.54,6.48,0.47,6,156.56,3.33,7.41,0.64,6.77,156.94
1981,1,13,24.29,12.23,18.26,25.89,9.89,51.81,3.77,90.74,2.6,4.91,0.6,4.31,169.75,3.55,5.8,0.61,5.19,171
1981,1,14,24.08,12.37,18.23,24.62,9.95,50.38,14.06,90.92,4.01,6.9,1.9,5,133.62,5.7,8.78,2.98,5.8,133.81
1981,1,15,23.29,15.11,19.19,24.62,11.9,63.06,1.1,90.48,6.1,8.76,2.98,5.78,36.44,8.32,10.97,5.91,5.05,35.56
1981,1,16,22.99,12.44,17.71,24.67,10.13,56.81,1.02,90.48,4.21,6.15,1.97,4.17,157.81,5.5,7.97,3.23,4.73,158.81
1981,1,17,24.7,14.32,19.51,26.44,11.35,57.69,0.11,90.44,4.08,7.68,2.02,5.66,75.88,5.46,9.4,2.53,6.87,73.56
1981,1,18,25.62,18.27,21.95,27.05,14.65,67.44,0.37,90.24,5.52,8.49,2.31,6.18,31.69,7.42,10.51,4.34,6.17,30.06
1981,1,19,26.51,16.37,21.44,27.56,13.24,57.62,1.49,90.12,4.33,9.01,0.66,8.34,134,5.71,10.42,1.5,8.92,135.38
1981,1,20,24.19,14.5,19.35,25.44,11.47,56.88,2.36,90.56,2.64,5.02,0.15,4.87,140.44,3.34,5.89,0.2,5.7,114.75
1981,1,21,22.94,12.81,17.88,24.51,10.25,56.06,0.04,90.7,5.26,8.05,1.83,6.23,35.19,6.86,9.76,3.3,6.45,34.06
1981,1,22,23.44,16.47,19.96,25.48,13,68,0.68,90.3,4.31,6.46,2.71,3.75,46.62,5.34,7.71,3.39,4.31,43.12
1981,1,23,24.27,17.05,20.66,25.72,13.55,67.56,0.33,90.38,3.64,6.36,0.95,5.41,54.12,4.56,7.88,1.23,6.66,52
1981,1,24,22.95,17.98,20.47,24.01,14.34,75.44,0.22,90.46,5.41,9.06,2.81,6.25,61.38,6.88,11.2,3.75,7.45,59.69
1981,1,25,24.87,19.05,21.96,26.29,15.32,72.88,1.36,90.36,4.23,5.94,2.09,3.85,47.5,5.69,7.3,3.88,3.43,44.62
1981,1,26,24.48,20.14,22.31,25.24,16.42,78.44,17.55,90.25,4.36,5.75,2.52,3.23,49.81,6.02,7.35,4.76,2.59,47.12
1981,1,27,24.82,20.53,22.67,25.64,16.85,79.12,5.03,90.22,4.36,6.18,2.1,4.09,41.5,6.05,8.59,4.05,4.54,38.44
1981,1,28,21.62,19.19,20.4,22.05,15.5,86.56,4.29,90.85,2.65,5.4,0.33,5.07,105.5,3.45,6.3,0.58,5.73,132.44
1981,1,29,21,16.53,18.76,22.41,13,77.81,2.15,90.98,2.3,4.77,0.16,4.6,108.38,2.73,5.62,0.17,5.44,104.62
1981,1,30,23.06,19.77,21.42,23.83,15.99,83.38,21.86,90.52,4.38,7.19,1.49,5.69,50.38,5.91,8.86,2.55,6.3,48.81
1981,1,31,26.02,20.5,23.26,27.12,16.85,74.81,6.64,89.95,2.52,4.41,1.05,3.36,68.31,3.71,5.46,1.78,3.68,80.38
1981,2,1,24.51,20.05,22.27,25.42,16.36,78.25,0.62,90.36,3.64,5.66,0.62,5.04,177.31,4.73,6.81,1.03,5.79,177.19
1981,2,2,24.33,20.73,22.53,25.23,16.97,81.69,23.38,90.48,3.44,5.7,1.39,4.3,53.38,4.57,7.01,2.21,4.8,50.38
1981,2,3,25.62,20.79,23.2,26.5,17.09,77.06,3.52,90.4,2.69,6.11,0.61,5.51,127.06,3.71,7.77,0.32,7.45,125.12
1981,2,4,18.44,13.45,15.94,19.44,10.62,73.88,0.06,91.09,3.02,5.71,1.12,4.58,98.69,3.92,7.21,1.31,5.9,97.19
1981,2,5,20.82,14.51,17.67,21.98,11.41,69.94,0.01,90.77,4.8,7.49,2.15,5.34,32.19,6.63,8.9,4.03,4.87,31.06
1981,2,6,22.87,17.95,20.41,24.12,14.34,75.94,3.6,90.5,4.95,8.25,2.43,5.82,34.81,6.72,10.16,4.57,5.6,32.5
1981,2,7,24.81,19.51,22.16,25.9,15.81,74.69,4.43,90.16,4.82,7.27,2.15,5.12,29.94,6.77,8.93,4.35,4.58,27.94
1981,2,8,18.3,14.46,16.38,19,11.47,79.38,2.71,90.91,5.27,9.76,1.2,8.55,199.5,6.81,11.94,2.04,9.9,200.75
1981,2,9,19.77,15.78,17.78,20.71,12.39,79.81,12.62,90.66,2.41,4.73,0.34,4.39,143.31,3.12,5.7,0.52,5.18,143
