YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1981,1,1,18.05,9.5,13.77,18.04,8.06,62.19,0.85,93.8,2.59,3.37,1.53,1.84,168.25,4.66,5.66,2.49,3.17,168.56
1981,1,2,19.9,11.58,15.73,19.51,9.22,63.06,0.17,93.79,1.59,2.63,0.88,1.74,156.69,2.6,4.74,0.33,4.41,160.19
1981,1,3,21.15,11.84,16.49,20.5,9.28,59.69,0,93.73,2.08,3.29,0.35,2.94,162.31,3.63,6.46,0.48,5.98,162.12
1981,1,4,22.58,10.15,16.36,22.69,8.54,52.44,0.01,93.58,2.49,3.35,1.63,1.72,163.62,5.39,6.84,2.78,4.05,161.75
1981,1,5,24.21,19.73,21.98,24.29,15.56,78.31,21.49,93.16,2.86,4.34,1.01,3.33,118.19,5.57,7.25,2.36,4.89,117.06
1981,1,6,24.55,13.44,19,24.14,10.62,56.81,0.06,93.42,2.25,3.62,0.34,3.28,157.81,4.07,6.55,0.52,6.04,158.94
1981,1,7,23.17,12.39,17.78,22.32,9.64,54.56,0.07,93.7,2.05,4.16,0.65,3.52,127.19,3.71,6.67,0.82,5.85,128
1981,1,8,22.81,16.09,19.45,22.94,12.33,69.69,2.47,93.33,2.42,3.63,1.42,2.21,160.31,4.88,5.72,3.98,1.74,157.81
1981,1,9,23.73,20.89,22.31,23.73,16.66,85.38,14.35,93.3,1.66,2.55,0.66,1.88,80.75,3.3,4.54,0.9,3.64,78.06
1981,1,10,24.37,19.81,22.09,24.48,15.56,78.94,2.55,93.33,1.45,2.61,0.46,2.15,123.25,2.75,4.45,0.23,4.21,118.94
1981,1,11,23.94,18.51,21.23,23.95,14.34,74,1.88,93.24,2.17,3.84,0.33,3.51,204.5,4.2,6.22,0.74,5.48,206.19
1981,1,12,20.91,13.46,17.19,20.35,10.38,65.19,2.13,93.43,1.92,3.47,1.2,2.28,174.75,3.54,5.37,2.02,3.35,176.06
1981,1,13,24.52,10.84,17.68,22.87,8.73,46.12,1.51,93.62,1.73,2.35,0.23,2.12,168.5,2.77,4.15,0.27,3.88,168.62
1981,1,14,23.77,13.89,18.83,22.86,10.68,57.25,21.82,93.87,2.13,2.93,0.75,2.18,136.75,4.09,5.91,1.76,4.16,121.12
1981,1,15,21.8,15.76,18.78,21.9,12.02,71.31,2.93,93.55,2.62,3.88,1.18,2.7,49.81,5.41,7.02,2.79,4.23,34
1981,1,16,22.67,14.7,18.69,22.66,11.35,67.44,10.46,93.35,1.5,2.53,0.27,2.27,171.75,3.2,5.29,0.38,4.91,199.44
1981,1,17,23.2,14.79,19,23.28,11.35,65.12,8.69,93.29,2.44,4.15,1.2,2.95,176.5,5.04,7.06,1.91,5.15,174.44
1981,1,18,23.65,19.12,21.38,23.73,15.08,78.25,12.13,93.2,2.71,3.88,1.27,2.61,110,5.32,6.74,3.1,3.65,108.25
1981,1,19,21.79,17.24,19.51,21.32,13.49,77.69,2.18,93.01,2.38,3.88,0.9,2.98,202.31,4.23,6.27,1.55,4.72,205.69
1981,1,20,20.85,13.59,17.23,20.37,10.44,67.44,1.56,93.53,2.01,3.17,1.36,1.81,152.62,3.38,5.2,2.25,2.95,154.38
1981,1,21,19.65,15.3,17.48,19.52,11.66,78.25,3.94,93.72,2.02,3.32,0.6,2.73,69.75,3.83,5.48,1.1,4.37,66.69
1981,1,22,20.08,16.08,18.08,20.23,12.27,80.31,4.03,93.33,2.37,3.62,1.46,2.17,171.94,4.23,5.62,2.84,2.79,169.62
1981,1,23,20.64,16.88,18.76,20.8,12.94,81.62,9.24,93.44,2.02,3.67,0.98,2.69,145.38,3.54,5.38,2.65,2.74,143.06
1981,1,24,20.92,17.64,19.28,20.93,13.55,83.38,16.24,93.58,1.98,3.48,0.66,2.82,81.5,3.5,5.75,1.02,4.73,64.75
1981,1,25,22.14,20.9,21.51,22.19,16.66,93.06,41.42,93.36,1.41,2.27,0.99,1.27,89.06,2.92,3.66,1.86,1.8,85.12
1981,1,26,23.1,21.64,22.37,23.08,17.46,92,25.77,93.26,1.77,2.79,0.88,1.91,45.75,3.45,4.51,1.65,2.86,42.75
1981,1,27,25.17,21.19,23.18,25.16,16.97,81.44,1.04,93.22,2.27,3.69,0.7,2.98,157.44,4.43,6.67,1.14,5.54,170.69
1981,1,28,19.87,14.65,17.26,19.5,11.23,73.38,0.26,94.08,1.9,3.5,0.21,3.29,139.19,3.27,6.02,0.28,5.74,139.81
1981,1,29,18.98,14.98,16.98,18.77,11.35,78.94,8.68,94.1,1.59,2.48,0.71,1.77,110.31,2.68,3.79,1.51,2.29,110.19
1981,1,30,20.23,17.93,19.08,20.37,13.85,87.88,53.72,93.6,1.81,3.21,0.98,2.23,62.62,3.28,4.7,1.95,2.75,59.75
1981,1,31,24.98,21.55,23.26,24.78,17.52,83.19,31.47,92.84,1.57,3.3,0.41,2.88,181.44,2.98,5.74,0.47,5.28,194.5
1981,2,1,22.19,17.64,19.91,21.96,13.67,78.25,4.21,93.32,2,2.88,1.22,1.66,136.81,3.4,4.16,1.81,2.35,140.06
1981,2,2,21.67,18.3,19.98,21.74,14.22,83.19,12.85,93.49,1.69,2.4,0.88,1.53,142.75,3.23,4.83,2.36,2.47,140.88
1981,2,3,22.63,19.12,20.88,22.46,14.95,82.88,24.73,93.47,1.73,4.22,0.37,3.85,218.75,3.3,6.63,0.93,5.71,220.62
1981,2,4,18.16,13.24,15.7,18.15,10.13,76.94,0,94.06,1.82,2.87,1.16,1.71,113,3.62,5.25,1.96,3.29,112.94
1981,2,5,17.12,12.7,14.91,17.19,9.83,78.44,0,93.85,2.01,3.04,1.24,1.8,127.94,3.93,4.46,3.37,1.09,126.19
1981,2,6,19.88,17.55,18.72,20,13.61,87.06,10.84,93.57,2.7,4,1.28,2.72,125.19,5.12,6.62,3.35,3.27,122.62
1981,2,7,23.55,20.8,22.17,23.51,16.6,86.31,8.21,93.18,2.65,4.26,1.09,3.17,33.5,5.04,7.45,1.88,5.57,30.94
1981,2,8,17.08,14.41,15.75,17.16,10.93,85.12,5.74,93.96,1.94,3.38,0.71,2.66,168.25,3.4,5.84,1.46,4.37,169.88
1981,2,9,18.24,14.51,16.37,17.84,11.11,80.69,10.62,93.65,1.2,2.02,0.13,1.88,156.06,1.92,2.6,0.2,2.41,157.19
1981,2,10,21.97,18.4,20.19,21.98,14.34,83.38,51.31,93.21,1.52,3.13,0.55,2.59,157.38,3.14,5.04,0.59,4.45,167.94
1981,2,11,20.14,18.68,19.4,20.18,14.59,91.81,2.13,93.14,2.1,3.06,1.06,2,147.31,3.86,5.72,1.74,3.98,145.19
1981,2,12,19.93,15.3,17.62,19.72,11.72,77.25,7.22,93.18,2.05,2.67,1.08,1.59,180.5,3.94,6.3,1.6,4.7,183.25
1981,2,13,17.26,13.15,15.2,17.34,10.07,79.06,2.02,94.06,2.42,3.43,1.62,1.8,153.5,4.62,5.8,2.95,2.85,153.38
1981,2,14,14.37,11.8,13.08,14.52,9.22,85.5,0.41,94.19,1.7,2.29,0.98,1.3,120.06,3.07,4.44,2.3,2.13,119.19
1981,2,15,20.35,14.42,17.39,20.08,11.05,72.75,0,93.76,1.68,2.61,0.23,2.38,186.25,3.12,5.36,0.27,5.09,189.69
1981,2,16,19.67,16.04,17.85,19.34,12.21,81.38,1.09,93.75,2.5,4.12,1.3,2.83,110.5,4.35,6.49,1.93,4.56,108.19
1981,2,17,22.12,19.52,20.82,22.18,15.32,86.88,3.06,93.36,1.8,2.94,0.69,2.25,85.81,3.64,4.91,2.04,2.87,83.81
1981,2,18,19.38,16.03,17.7,19.44,12.21,82.06,0.69,93.9,2.14,3.12,0.49,2.62,169.5,4.13,5.84,0.92,4.92,171.44
1981,2,19,21.87,18.2,20.04,21.69,14.1,81.44,0.06,93.95,1.45,2.75,0.16,2.59,97.94,2.67,4.57,0.27,4.3,93.81
1981,2,20,23.39,20.26,21.83,23.46,15.93,84.25,0,93.72,2.16,3.02,1.18,1.84,100.5,4.16,4.88,3.43,1.46,97.81
1981,2,21,24.07,20.84,22.45,24.14,16.54,84,0,93.64,2.19,3.1,1.3,1.8,34.31,4.26,4.96,3.49,1.47,31.62
1981,2,22,23.55,20.33,21.94,23.62,15.99,84.06,0,93.73,2.05,3.12,1.1,2.02,143.56,4.07,4.85,2.85,2,126.44
1981,2,23,22.83,19.12,20.98,22.92,14.83,81.94,0,93.6,2.15,3.02,1.49,1.53,144,4.15,4.75,2.93,1.82,141.75
1981,2,24,23.66,19.87,21.76,23.71,15.62,81.56,0.11,93.21,2.69,3.97,1.33,2.65,157.56,5.21,6.84,3.74,3.1,155.88
1981,2,25,22.56,17.44,20.01,22.24,13.43,75.62,0.01,93.48,1.76,2.8,0.2,2.59,192.38,3.17,4.72,0.21,4.51,195.75
1981,2,26,24.01,20.66,22.33,23.97,16.42,83.25,0.07,93.41,1.7,2.6,1.16,1.44,176.81,3.38,4.17,1.77,2.41,175.31
1981,2,27,25.16,21.78,23.48,25.19,17.64,83.88,18.24,93.25,1.63,2.41,1.02,1.4,185.19,3.55,4.62,1.94,2.69,183.62
1981,2,28,23.58,21.73,22.65,23.44,17.46,90.12,4.3,93.68,1.62,2.62,0.86,1.75,149.38,3.3,4.3,1.24,3.06,148.81
1981,3,1,23.44,21.43,22.44,23.49,17.15,89.56,1.43,93.54,1.94,2.88,1.12,1.75,57.38,4.01,4.78,3.3,1.48,70.25
1981,3,2,25.14,21.1,23.12,24.99,16.85,80.94,0.03,93.46,1.66,2.71,0.04,2.67,183.5,3.57,5.12,0.21,4.91,187.81
1981,3,3,22.33,19.37,20.84,22.36,15.01,84.69,0,94.04,1.73,2.49,0.88,1.62,72,3.12,4.24,2.33,1.91,70.62
1981,3,4,20.77,17.44,19.11,20.9,13.31,83.31,0,93.71,2.32,3.3,1.36,1.94,69.06,4.37,5.26,3,2.26,66.81
1981,3,5,21.84,18.48,20.16,21.91,14.34,83.69,9.2,93.4,1.65,2.37,0.07,2.29,169,3.27,4.99,0.39,4.6,166.75
1981,3,6,21.61,19.29,20.44,21.58,15.01,87.75,12.34,93.61,1.71,3.35,0.17,3.18,72.88,3.13,5.3,0.41,4.9,72.44
1981,3,7,18.89,16.01,17.44,18.94,12.15,85.12,0.11,93.94,1.35,2.48,0.73,1.75,117.06,2.55,3.55,1.31,2.24,115.38
1981,3,8,20.34,15.87,18.11,20.4,12.08,78.88,0,93.8,1.84,2.45,1.1,1.34,190.19,3.99,5.37,1.62,3.74,202.56
