YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1981,1,1,23.8,16.13,19.97,24.87,11.9,65.56,1.5,97.33,4.42,7.24,1.78,5.46,151.88,5.9,9.32,2.76,6.56,152.88
1981,1,2,24.26,16.88,20.57,25.97,12.39,66.75,0.04,97.42,1.99,3.41,1.05,2.37,132,3.21,6.25,1.17,5.08,132.44
1981,1,3,25.88,15.73,20.8,27.64,11.54,57.06,0.01,97.37,2.65,4.84,0.38,4.47,81.81,3.85,8.59,0.54,8.05,81.62
1981,1,4,26.65,18.31,22.48,28,13.67,62.94,5.09,97.15,3.62,6.02,0.98,5.04,69.06,5.21,8.84,1.88,6.96,69
1981,1,5,28.65,21.1,24.88,29.17,16.24,66.56,0.63,96.67,5.32,8.21,2.8,5.41,47.31,7.55,10.53,4.48,6.05,46.56
1981,1,6,29.29,19.01,24.15,30.29,14.4,57.69,0.11,96.83,4.9,7.04,1.7,5.34,151.06,6.75,8.96,3.3,5.66,151.62
1981,1,7,26.66,16.53,21.59,28.4,12.21,56.69,0.69,97.3,3.77,6.83,1.07,5.76,99.88,5.23,7.77,1.91,5.86,99.94
1981,1,8,24.73,19.44,22.08,26.08,14.83,73.38,32.04,96.91,2.82,3.7,1.26,2.45,77.69,3.95,6.24,1.52,4.73,76.88
1981,1,9,27.94,22.59,25.26,28.74,17.82,75.19,0.92,96.79,3.21,5.37,1.33,4.04,66.88,4.85,7.83,1.33,6.5,65.56
1981,1,10,26.85,22.19,24.52,27.49,17.33,77.25,26.63,96.92,4.06,6.2,1.09,5.11,38.75,5.8,7.67,2.25,5.42,38.38
1981,1,11,28.46,23.04,25.75,29.52,18.31,74.88,1.03,96.68,2.95,3.68,1.8,1.88,58.06,4.34,6.78,2.44,4.35,58.12
1981,1,12,27.76,22.03,24.9,28.9,17.27,73.38,7.6,96.72,3.59,8.76,0.66,8.1,119.12,4.83,11.48,1.23,10.25,118.81
1981,1,13,26.99,17.98,22.48,27.95,13.37,61.31,2.78,97.17,3.04,5.52,1.7,3.83,159.38,4.57,7.66,2.62,5.02,160.19
1981,1,14,26.85,18.19,22.52,27.32,13.49,62.19,9.39,97.41,3.13,4.98,1.27,3.72,121.25,4.68,8.43,1.26,7.17,122.06
1981,1,15,25.95,19.14,22.55,26.81,14.34,68.88,6.72,97.01,5.62,8.45,2.23,6.22,47.81,7.78,10.57,3.3,7.26,47.62
1981,1,16,25.8,18.44,22.12,26.9,13.85,68.25,0.38,96.88,4.02,5.86,1.86,4,120.38,5.44,7.2,2.88,4.32,121.06
1981,1,17,26,18.37,22.19,27.65,13.73,66.69,0,96.98,3.81,6.6,1.44,5.16,51.81,5.19,8.08,2.01,6.06,51
1981,1,18,28.41,22.08,25.24,29.36,17.27,71.12,1.35,96.67,5.91,8.5,2.32,6.18,56.75,7.93,10.73,3.81,6.91,56.19
1981,1,19,29.69,22.49,26.09,30.89,17.82,68.38,2.33,96.39,4.07,6.77,1.02,5.76,108.62,5.79,8.67,0.73,7.95,109.5
1981,1,20,26.24,19.73,22.98,27.25,14.95,69.31,4.1,96.98,4.2,5.85,2.05,3.8,133.25,5.92,6.74,4.16,2.58,134.5
1981,1,21,25.73,16.96,21.34,27.09,12.51,62,0.11,97.27,4.4,7.76,0.73,7.02,69.31,5.62,9.49,1.28,8.21,68.44
1981,1,22,25.39,20.3,22.84,26.83,15.44,74.75,5.75,96.83,5.3,6.6,2.93,3.67,73.88,6.68,7.93,4.31,3.62,72.38
1981,1,23,27.19,21.19,24.19,28.16,16.36,72.56,2.3,96.77,4.7,6.35,3.69,2.66,81.44,6.26,7.42,4.62,2.8,79.94
1981,1,24,26.54,21.92,24.23,27.2,17.09,77.62,1.15,96.9,6.2,9.42,3.56,5.86,74.69,8.27,11.66,5.38,6.28,73.19
1981,1,25,27.79,22.24,25.01,28.32,17.4,74.12,1.16,96.76,6.97,8.59,5.69,2.91,63.25,9.5,10.58,8.2,2.38,61.5
1981,1,26,27.01,22.82,24.91,27.37,18.07,78.62,14.26,96.7,6.04,7.2,3.7,3.51,56.06,8.39,9.51,6.99,2.52,54.94
1981,1,27,27.11,23.09,25.1,27.62,18.37,79.62,7.9,96.69,6.39,8.16,4.67,3.49,52.12,8.63,10.34,7.27,3.08,50.69
1981,1,28,25.39,22.55,23.97,25.69,17.7,84.88,9.62,97.26,4.62,7.73,2.09,5.63,96.12,6.27,10.09,2.29,7.81,94.56
1981,1,29,23.8,20.49,22.14,24.68,15.56,82.81,5.62,97.52,3.59,4.73,2.41,2.32,126.56,4.91,7.41,2.66,4.75,124.56
1981,1,30,26.07,22.86,24.47,26.31,18.07,83.62,10.93,97,5.21,7.5,3.44,4.06,68.12,7.44,9.33,5.03,4.3,67.12
1981,1,31,28.07,23.43,25.75,28.44,18.86,77.81,18.91,96.3,3.91,5.56,1.65,3.91,55.62,5.8,7.34,3.27,4.07,54.5
1981,2,1,26.91,23.93,25.42,27.09,19.35,84.56,5.33,96.68,3.16,5.18,1.39,3.78,121.81,4.8,6.29,2.89,3.4,122.94
1981,2,2,26.83,24.1,25.47,27.19,19.47,85.69,30.45,96.92,4.05,5.98,2.63,3.34,78.94,5.87,8.56,3.58,4.98,77.38
1981,2,3,27.68,24.49,26.08,28.03,20.02,83.88,1.69,96.75,3.42,5.29,2.73,2.55,72.06,5.14,7.77,3.63,4.13,71.19
1981,2,4,21.88,18.18,20.03,22.25,13.49,79.81,0.4,97.65,3.81,8.14,0.29,7.86,135.94,4.89,10.3,0.38,9.93,135.75
1981,2,5,23.61,18.38,20.99,24.37,13.61,74.56,0.03,97.39,3.84,5.66,1.4,4.27,63.38,5.52,7.47,2.26,5.21,63.25
1981,2,6,25.51,21.66,23.59,26.27,16.78,80.69,8.52,97.06,4.98,7.48,2.2,5.27,55.19,6.99,10.22,4.43,5.79,54.38
1981,2,7,26.83,21.88,24.36,27,17.09,76.12,11.85,96.61,6.9,9.2,3.53,5.67,48.31,9.56,11.47,6.78,4.68,47
