Año;Mes;Letras;Detalles
1992;2;Febrero;La crecida de los ríos y la apertura de las compuertas del dique Escaba afectaron a La Madrid y otras localidades, dejando a unos 10.000 vecinos despojados de sus bienes y evacuando a 2.500 personas. https://www.lagaceta.com.ar/blogs/ensaladacesario/724641/breve-historia-nuestras-inundaciones.html
1993;1;Enero;Una gran tempestad provocó 2.000 evacuados, caída de puentes, corte de rutas y casas devastadas en localidades como Famaillá, Monteros, Medinas y Tafí Viejo. https://www.lagaceta.com.ar/blogs/ensaladacesario/724641/breve-historia-nuestras-inundaciones.html
1996;12;Diciembre;Copiosas lluvias afectaron el sur de la provincia, especialmente a Río Colorado, Bella Vista, Manchalá, Concepción y Los Agudos, con 600 personas evacuadas
1997;1;Enero;Copiosas lluvias afectaron el sur de la provincia, especialmente a Río Colorado, Bella Vista, Manchalá, Concepción y Los Agudos, con 600 personas evacuadas
2000;3;Marzo;Lluvias intensas y la crecida de los ríos provocaron la evacuación de unas 1.500 personas en el sur de la provincia, afectando a otras 4.000 debido al corte de rutas. 
2005;1;Enero;Una fuerte tormenta generó serios problemas en la capital tucumana y en varias localidades del interior, obligando a evacuar a más de 1.300 personas. 
2007;1;Enero;Unas 4.000 personas fueron evacuadas debido a intensas lluvias que afectaron principalmente a Río Colorado, La Cocha, Chicligasta y Concepción.
2010;12;Diciembre;Evento: Fuertes precipitaciones provocaron crecidas en el río Marapa y afluentes menores. Impacto: Anegamiento de campos y viviendas en La Madrid, con reportes de familias afectadas y daños materiales.
2012;1;Enero;" Inundaciones generalizadas tras un período prolongado de precipitaciones intensas; evacuación de familias en áreas vulnerables."
2015;4;Abril;Más de 180 personas fueron evacuadas en distintas localidades tucumanas, principalmente en Graneros y La Madrid, tras intensas lluvias en la provincia de Catamarca que causaron el desborde del dique Escaba y la crecida del río Marapa. https://www.diariohuarpe.com/nota/2015-4-13-23-43-1-mas-de-180-evacuados-en-tucuman-por-las-inundaciones
2017;4;Abril;La localidad de La Madrid quedó sumergida en un 80% debido a la crecida del río Marapa, lo que obligó a evacuar a casi toda la población. https://www.lanacion.com.ar/sociedad/las-lluvias-y-el-desborde-de-rios-dejaron-mas-de-12000-damnificados-en-tucuman-nid2004144/
2020;1;Enero;Evento: Tormentas prolongadas desbordaron arroyos y canales en la región. Impacto: La Madrid reportó anegamientos en zonas bajas, afectando viviendas y pequeñas explotaciones agrícolas.
2021;1;Enero;Lluvias persistentes generaron crecidas en ríos y arroyos, con impactos en zonas rurales y urbanas.
2023;2;Febrero;Evento: Lluvias extremas generaron inundaciones en el sur de Tucumán. Impacto: Creció el río Marapa, afectando La Madrid y comunidades cercanas, con evacuaciones y pérdidas económicas significativas.
